388 291,39 A1 varenda det
389 291,38 A1 istället (el. i stället) adverb
390 290,35 A1 först adverb
391 289,93 A1 arbeta verb
392 288,81 A1 heller adverb
393 288,62 A1 riktigt adverb
394 288,60 A1 hand noun-en
395 287,98 A1 uppgift noun-en
396 287,40 A1 fungera (vardagl. funka) verb
397 286,58 A1 beta verb
398 284,11 A1 köpa verb
399 284,00 A1 nästan adverb
400 283,65 A1 bra adverb
401 282,47 A1 bland prep
402 280,83 A1 december noun
403 280,32 A1 sitta verb
404 277,18 A1 precis adverb
405 275,94 A1 hennes pronoun
406 275,39 A1 åta sig verb
407 275,20 A1 bland annat (förk. bl.a.) adverb
408 275,09 A1 krig noun-ett
409 274,97 A1 till exempel (förk. t.ex., t ex) adverb
410 274,88 A1 tillsammans adverb
411 272,82 A1 henne pronoun
412 272,16 A1 intressant adjective
413 269,93 A1 val noun-ett
414 268,45 A1 kyrka noun-en
415 267,44 A1 egentligen adverb
416 267,33 A1 inför prep
417 267,25 A1 historia noun-en
418 266,97 A1 jobb noun-ett
419 266,34 A1 berätta verb
420 265,84 A1 vanlig adjective
421 265,36 A1 rätta verb
422 264,41 A1 januari noun
423 264,14 A1 information noun-en
424 262,77 A1 flest adjective
425 260,53 A1 ung adjective
426 260,31 A1 en pronoun
427 259,58 A1 tillbaka (vardagl. tillbaks) particle
428 258,67 A1 film noun-en
429 258,58 A1 ibland (el. i bland) adverb
430 257,43 A1 medan (vardagl. medans) subj
431 256,60 A1 slut noun-ett
432 255,87 A1 massa noun-en
433 251,61 A1 tanke noun-en
434 251,45 A1 akt noun-en
435 251,21 A1 procent noun-en
436 251,14 A1 månad noun-en
437 250,04 A1 sista adjective
438 249,91 A1 ätt noun-en
439 249,47 A1 sluta verb
440 249,20 A1 verksamhet noun-en
441 249,15 A1 rätt noun-en
442 247,54 A1 samtidigt adverb
443 247,28 A1 emot prep
444 244,26 A1 stöd noun-ett
445 244,19 A1 familj noun-en
446 243,27 A1 vem pronoun
447 243,14 A1 åka verb
448 242,04 A1 betala verb
449 242,01 A1 kommun noun-en
450 241,96 A1 resultat noun-ett
451 241,91 A1 utveckla verb
452 240,44 A1 föra verb
453 238,92 A1 hjälpa verb
454 237,94 A1 nästa adjective
455 237,62 A1 nära adverb
456 237,61 A1 nej interj
457 234,60 A1 text noun-en
458 232,43 A1 exempel noun-ett
459 232,35 A1 särskilt adverb
460 232,07 A1 debatt noun-en
